keyword,source,title,date,url,collected_at
응급의료,view,"""응급실 뺑뺑이로 사망 4살 아이""…'병원 과실' 인정 4억 배상 판결",2026-04-15,https://view.asiae.co.kr/article/2026041520490014392,2026-04-16 08:33:34
응급의료,ulsanpress,다음 달부터 응급의료기관 재지정 평가,2026-04-15,https://www.ulsanpress.net/news/articleView.html?idxno=573367,2026-04-16 08:33:30
응급의료,seoul,"응급실 뺑뺑이에 숨진 4살…법원, 병원들 4억 배상 판결",2026-04-15,https://www.seoul.co.kr/news/society/2026/04/15/20260415500273?wlog_tag3=naver,2026-04-16 08:33:38
응급의료,news1,'응급실 뺑뺑이' 돌다 하늘나라 간 4살 동희…'4억 배상' 판결,2026-04-15,https://www.news1.kr/local/busan-gyeongnam/6137954,2026-04-16 08:33:38
응급의료,kookje,"'응급실 뺑뺑이' 4살 아이 사망…""병원, 유족에 4억 배상"" 판결",2026-04-15,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20260415.99099004517,2026-04-16 08:33:09
응급의료,khan,"응급실 뺑뺑이 끝에 아동 사망 사건…법원, 병원 2곳에 “4억원 공동 배...",2026-04-15,https://www.khan.co.kr/article/202604152038005,2026-04-16 08:33:38
응급의료,joongang,4살 ‘응급실 뺑뺑이’ 돌게 한 병원…법원 “4억 배상하라”,2026-04-15,https://www.joongang.co.kr/article/25420467,2026-04-16 08:33:41
응급의료,ikbc,"""응급환자 있다"" 거짓말에 '뺑뺑이'…아이 사망, 4억 배상",2026-04-15,https://www.ikbc.co.kr/article/view/kbc202604150074,2026-04-16 08:33:09
응급의료,hankyung,응급실 뺑뺑이로 사망한 4살 아이…'병원 과실' 4억 배상,2026-04-15,https://www.hankyung.com/article/2026041538287,2026-04-16 08:33:30
응급의료,hankookilbo,"'응급실 뺑뺑이' 겪다 숨진 네 살 동희…법원, 4억 배상 판결",2026-04-15,https://www.hankookilbo.com/news/article/A2026041522150003648?did=NA,2026-04-16 08:33:09
응급의료,hani,"법원 “사망 초래한 응급환자 뺑뺑이, 거부한 병원들 책임”",2026-04-15,https://www.hani.co.kr/arti/area/yeongnam/1254424.html,2026-04-16 08:33:38
응급의료,dt,‘응급실 뺑뺑이 사망’ 원인제공 병원…법원 “4억원 배상하라”,2026-04-15,https://www.dt.co.kr/article/12057686?ref=naver,2026-04-16 08:33:30
응급의료,donga,‘응급실 뺑뺑이’로 숨진 아이…병원 2곳에 4억 배상 판결,2026-04-15,https://www.donga.com/news/Society/article/all/20260415/133748578/1,2026-04-16 08:33:09
응급의료,dailian,"‘응급실 뺑뺑이’로 4살 아이 사망…법원, 4억 배상 판결",2026-04-15,https://www.dailian.co.kr/news/view/1634078/?sc=Naver,2026-04-16 08:33:41
응급의료,chosun,응급실 뺑뺑이로 사망... 병원에 4억 배상 판결,2026-04-15,https://www.chosun.com/national/regional/2026/04/15/QEBWQKNHOVFZNLUOASNQHJBVU4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,2026-04-16 08:33:41
응급실 뺑뺑이,yna,응급실 '뺑뺑이' 사망 원인제공 병원에 4억원 배상 판결,2026-04-15,https://www.yna.co.kr/view/AKR20260415167500051?input=1195m,2026-04-16 08:34:32
응급실 뺑뺑이,seoul,응급실 뺑뺑이 끊는다…최종 치료 못 하면 응급센터 퇴출,2026-04-15,https://www.seoul.co.kr/news/society/2026/04/15/20260415500218?wlog_tag3=naver,2026-04-16 08:34:32
응급실 뺑뺑이,mt,"'응급실 뺑뺑이'에 숨진 네 살 동희…법원, 병원에 '4억 배상' 판결",2026-04-15,https://www.mt.co.kr/thebio/2026/04/15/2026041517562951836,2026-04-16 08:34:32
응급실 뺑뺑이,docdocdoc,'응급실 뺑뺑이' 소아 사망 사건에 양산부산대병원 등 4억 배상 판결,2026-04-15,http://www.docdocdoc.co.kr/news/articleView.html?idxno=3038335,2026-04-16 08:34:32
응급실,wowtv,"'응급실 뺑뺑이' 끝 숨진 4살…法 ""4억 배상하라""",2026-04-15,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202604150512&t=NN,2026-04-16 08:34:06
응급실,news,'응급실 뺑뺑이'로 끝내 사망…병원에 4억 원 배상 판결,2026-04-15,https://news.tvchosun.com/site/data/html_dir/2026/04/15/2026041590275.html,2026-04-16 08:34:01
응급실,news,응급실 '뺑뺑이' 사망 원인 제공 병원에 4억 원 배상 판결,2026-04-15,https://news.sbs.co.kr/news/endPage.do?news_id=N1008519749&plink=ORI&cooper=NAVER,2026-04-16 08:34:06
응급실,mk,"‘응급실 뺑뺑이’ 아이 사망…법원 “거부·방치한 병원, 4억 배상하라...",2026-04-15,https://www.mk.co.kr/article/12018118,2026-04-16 08:34:01
응급실,kyeonggi,[단독] 의왕의 한 고교서 아드레날린 마신 학생들 응급실 이송,2026-04-15,https://www.kyeonggi.com/article/20260415580556,2026-04-16 08:34:06
응급실,khan,6년전 ‘응급실 뺑뺑이’로 숨진 김동희군 유족 손배소 일부 승소···4...,2026-04-15,https://www.khan.co.kr/article/202604151917001,2026-04-16 08:34:01
응급실,ggilbo,권역응급의료센터 최대 60곳으로 확대,2026-04-15,https://www.ggilbo.com/news/articleView.html?idxno=1153013,2026-04-16 08:34:06
응급실,edaily,"4살 '응급실 뺑뺑이' 돌게 한 병원, 유족에 4억 배상 판결",2026-04-15,http://www.edaily.co.kr/news/newspath.asp?newsid=05172566645416448,2026-04-16 08:34:06
닥터헬기,metroseoul,"영양군, ""골든타임 사수할 수 있나""… 영양군 응급의료 체계, 공론화가...",2026-04-15,http://www.metroseoul.co.kr/article/20260415500031,2026-04-16 08:33:45
