keyword,source,title,date,url,collected_at
응급환자,보건복지부,"새글
응급환자 이송체계 혁신사업 강원도로 잇는다",2026-04-22,https://www.mohw.go.krboard.es?mid=a10503010100&bid=0027&act=view&list_no=1490221&tag=&nPage=1,2026-04-22 10:22:55
중증응급,kormedi,"현재 부울경 상급종합병원 8곳…해운대백병원, 이번엔 문턱 넘을까?",2026-04-21,https://kormedi.com/?p=2809140,2026-04-22 10:21:24
중증외상,chungnamilbo,"서산소방서, 119구급차 비응급 신고 자제 당부",2026-04-21,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=884518,2026-04-22 10:20:55
중앙응급의료센터,news1,"金총리 ""응급환자 이송체계, 지역별 특성 맞는 해법 필요""",2026-04-21,https://www.news1.kr/politics/president/6144079,2026-04-22 10:21:58
응급의료,yna,복지장관 원주세브란스 방문…닥터헬기 등 응급환자 이송 점검,2026-04-21,https://www.yna.co.kr/view/AKR20260421161500530?input=1195m,2026-04-22 10:20:18
응급의료,veritas-a,대구한의대 '전문심장소생술(KALS)' 교육기관 지정... 응급의료 교육 메...,2026-04-21,https://www.veritas-a.com/news/articleView.html?idxno=606852,2026-04-22 10:20:16
응급의료,newspicom,"정은경 복지부 장관, 강원 응급의료 현장 점검…""이송체계 강화""",2026-04-21,https://www.newspim.com/news/view/20260422000111,2026-04-22 10:20:18
응급의료,newsis,"정은경 장관, 강원 응급환자 이송체계 점검…현장간담회",2026-04-21,https://www.newsis.com/view/NISX20260422_0003601276,2026-04-22 10:20:18
응급의료,newscj,"金총리, 대구지역 응급환자 이송체계 점검… 응급·산모·소아 대응 강화",2026-04-21,https://www.newscj.com/news/articleView.html?idxno=3395526,2026-04-22 10:20:18
응급의료,news1,"""응급환자 이송체계 혁신사업 강원도로""…현장 간담회 개최",2026-04-21,https://www.news1.kr/bio/general/6144691,2026-04-22 10:20:18
응급의료,news,상급종합병원 지정 기준 상향 조정…중증환자 38% 미만 탈락,2026-04-21,https://news.knn.co.kr/news/article_sns/1214,2026-04-22 10:20:21
응급의료,kyosu,"대구한의대, '전문심장소생술(KALS)' 교육기관 지정... 응급의료 교육 메...",2026-04-21,https://www.kyosu.net/news/articleView.html?idxno=204438,2026-04-22 10:20:16
응급의료,edaily,"정은경 장관, 강원 응급의료 간담회…“지역 맞춤형 이송체계 강화”",2026-04-21,http://www.edaily.co.kr/news/newspath.asp?newsid=03345606645418744,2026-04-22 10:20:16
응급실 뺑뺑이,yna,"金총리, 대구 응급환자 이송체계 점검…""미스매치 최소화""",2026-04-21,https://www.yna.co.kr/view/AKR20260421165400001?input=1195m,2026-04-22 10:21:04
응급실 뺑뺑이,yna,"""응급실 뺑뺑이 없도록""…10분 만에 병원 선정·이송한다",2026-04-21,https://www.yna.co.kr/view/AKR20260421051600055?input=1195m,2026-04-22 10:21:07
응급실 뺑뺑이,worknworld,"""응급실 뺑뺑이 끝내자! 지역의료시대 열자!"" 보건의료노조 대경본부 6...",2026-04-21,http://worknworld.kctu.org/news/articleView.html?idxno=509102,2026-04-22 10:21:07
응급실 뺑뺑이,ngonews,"""응급실 뺑뺑이 내몰린 아이들""...동대문구 달빛어린이병원 요구 확산",2026-04-21,https://www.ngonews.kr/news/articleView.html?idxno=228739,2026-04-22 10:21:07
응급실 뺑뺑이,newsis,"김 총리, 대구 응급실 '뺑뺑이' 문제 점검…""지역 특수성서 해법 찾겠다...",2026-04-21,https://www.newsis.com/view/NISX20260421_0003600707,2026-04-22 10:21:04
응급실 뺑뺑이,ibabynews,응급환자 병원 못 찾아 1시간 넘게 대기... 2년 새 2.5배 증가,2026-04-21,https://www.ibabynews.com/news/articleView.html?idxno=150705,2026-04-22 10:21:07
응급실 뺑뺑이,etoday,"김민석, 대구 응급환자 이송체계 점검…“권역별 특수성 반영, 해법 찾...",2026-04-21,https://www.etoday.co.kr/news/view/2577790,2026-04-22 10:21:04
응급실 뺑뺑이,biz,"김민석, 대구 응급환자 이송체계 점검…“지역 맞춤 해법 필요”",2026-04-21,https://biz.heraldcorp.com/article/10722501?ref=naver,2026-04-22 10:21:04
응급실,yangsanilbo,"'응급실 뺑뺑이' 병원, 4억 배상 판결",2026-04-21,http://www.yangsanilbo.com/news/articleView.html?idxno=124351,2026-04-22 10:20:39
응급실,news,병원 못 찾아 사망… 응급실 뺑뺑이 언제까지?,2026-04-21,https://news.skbroadband.com/news/articleView.html?idxno=223714,2026-04-22 10:20:46
응급실,hitnews,필수약 '아티반' 퇴장에 응급실 1차 치료제 공백 우려 확산,2026-04-21,https://www.hitnews.co.kr/news/articleView.html?idxno=75601,2026-04-22 10:20:49
응급실,fnnews,"""아내 살려만 달라"" 바닥에 주저앉은 부사관 남편, 응급실 의사 ""진심 의...",2026-04-21,http://www.fnnews.com/news/202604220639551395,2026-04-22 10:20:46
상급종합병원,samdailbo,"문성유 ""상급종합병원 2곳 지정·중입자 치료기 도입""",2026-04-21,http://www.samdailbo.com/news/articleView.html?idxno=263162,2026-04-22 10:21:49
