keyword,source,title,date,url,collected_at
중증외상,news,"""응급실 대책, 지금 당장 수술 가능한가?""... 시민단체, 대구시 대책 비...",2026-04-13,https://news.bbsi.co.kr/news/articleView.html?idxno=4077935,2026-04-14 14:14:39
중증외상,dgmbc,"우리복지시민연합 ""실질적 응급의료 안전망 구축·알권리 보장하라""",2026-04-13,https://dgmbc.com/NewsArticle/834804,2026-04-14 14:14:39
중증외상,biz,‘대구시 ’응급실 뺑뺑이‘ 재발 방지 대책 있나’…복지연합 ‘실효...,2026-04-13,https://biz.heraldcorp.com/article/10715730?ref=naver,2026-04-14 14:14:39
응급의료,ujeil,"울주보건소, 구급차 운용·관리실태 현장점검",2026-04-13,http://www.ujeil.com/news/articleView.html?idxno=384147,2026-04-14 14:14:08
응급의료,thefirstmedia,"GC &페니카 헬스케어 센터, 베트남 하노이에 한국인 전용 응급환자 대응...",2026-04-13,http://www.thefirstmedia.net/news/articleView.html?idxno=197831,2026-04-14 14:14:15
응급의료,namdonews,"여수해경, 1분기 응급환자 62명 긴급 이송",2026-04-13,https://www.namdonews.com/news/articleView.html?idxno=907342,2026-04-14 14:14:13
응급의료,lawissue,"GC, 베트남 하노이에 한국인 응급환자 대응 핫라인 구축",2026-04-13,http://www.lawissue.co.kr/view.php?ud=202604132253535084f4ab64559d_12,2026-04-14 14:14:05
응급의료,kookje,센텀종합병원 증증환자 비중 응급의료센터 상회,2026-04-13,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0700&key=20260414.22015002293,2026-04-14 14:14:13
응급의료,kookje,부산백병원 ‘협진 강화’ 소아응급의료체계 구축,2026-04-13,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0700&key=20260414.22014002281,2026-04-14 14:14:13
응급의료,k-health,"경기도, '2026 경기 기후보험' 시작...응급실 비용까지 지원",2026-04-13,http://www.k-health.com/news/articleView.html?idxno=91550,2026-04-14 14:14:15
응급의료,bosa,"응급의학회, 완도 화재 순직 소방관 조문…""목숨 바친 헌신 깊이 추모""",2026-04-13,https://www.bosa.co.kr/news/articleView.html?idxno=3002988,2026-04-14 14:14:05
응급실 뺑뺑이,segye,응급실 문턱 넘어도… 28년 전 낡은 ‘중증도 기준’에 골든타임 놓친다...,2026-04-13,https://www.segye.com/newsView/20260412508028?OutUrl=naver,2026-04-14 14:14:51
응급실 뺑뺑이,news1,"대구 시민단체 ""응급실 뺑뺑이 막을 컨트롤타워 권한 강화해야""",2026-04-13,https://www.news1.kr/local/daegu-gyeongbuk/6134252,2026-04-14 14:14:51
응급실,news,[이슈픽] “입맛 돋우려다 응급실행?”…‘독초 혼동’ 주의보,2026-04-13,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8534378&ref=A,2026-04-14 14:14:28
응급실,news,"우리복지시민연합, 대구 '응급실 뺑뺑이' 실질적 대책 요구",2026-04-13,https://news.skbroadband.com/news/articleView.html?idxno=224077,2026-04-14 14:14:30
응급실,monews,뇌졸중 응급환자 중증도 분류 KTAS 한계···개선 필요성에 한 목소리,2026-04-13,https://www.monews.co.kr/news/articleView.html?idxno=410646,2026-04-14 14:14:33
응급실,idaegu,"시민단체, ""응급실 뺑뺑이 대책, 그래서 지금 가능한가""",2026-04-13,https://www.idaegu.co.kr/news/articleView.html?idxno=544831,2026-04-14 14:14:30
