keyword,source,title,date,url,collected_at
중증응급,mygoyang,"더자인병원·고양소방서, 응급환자 이송 협력 머리 맞대",2026-04-20,http://www.mygoyang.com/news/articleView.html?idxno=88391,2026-04-21 13:59:29
중증응급,mdtoday,상급종합병원 지정 문턱 높아진다…중증환자 비율 38%로 상향,2026-04-20,https://mdtoday.co.kr/news/view/1065587128698625,2026-04-21 13:59:29
중증응급,ksilbo,중증환자 38% 미달땐 상급종합병원 취소,2026-04-20,https://www.ksilbo.co.kr/news/articleView.html?idxno=1054612,2026-04-21 13:59:32
중증응급,kormedi,"발사믹 식초 한 스푼 먹은 60대男...명치 아프고 호흡곤란, 응급실행",2026-04-20,https://kormedi.com/?p=2808840,2026-04-21 13:59:37
중증응급,ggilbo,중증환자 중심으로... 상급종합병원 기준 강화,2026-04-20,https://www.ggilbo.com/news/articleView.html?idxno=1153879,2026-04-21 13:59:37
중증외상,chungnamilbo,"서산소방서, 119구급차 비응급 신고 자제 당부",2026-04-20,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=884518,2026-04-21 13:59:01
중앙응급의료센터,news1,"""중증환자 비중 38% 맞춰라""…상급종합병원 지정 기준 강화",2026-04-20,https://www.news1.kr/bio/welfare-medical/6141787,2026-04-21 14:00:15
중앙응급의료센터,jndn,"순천시, 화학·산업재난 응급의료체계 강화",2026-04-20,http://www.jndn.com/article.php?aid=1776675759431167107,2026-04-21 14:00:12
응급의료,newsmp,"의협, '배후진료' 응급의료법 개정안 ""재정지원ㆍ평가체계 구체화는 필...",2026-04-20,http://www.newsmp.com/news/articleView.html?idxno=252813,2026-04-21 13:58:32
응급의료,jnilbo,"신안군, 구급차 운용 실태 점검 실시",2026-04-20,https://www.jnilbo.com/news/articleView.html?idxno=90000031323,2026-04-21 13:58:37
