keyword,bill_no,bill_name,proposer,proposed_date,status,url
응급의료,2214199,응급의료에 관한 법률 일부개정법률안(대안) (보건복지위원장) (새창 열림),위원장,2025-11-12,공포,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_C2E5C0J9O2H3A1V8L2V9R3D0I5A1M9
응급의료,2213901,응급의료에 관한 법률 일부개정법률안 (김윤의원 등 28인) (새창 열림),의원,2025-11-04,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_O2O5N1N1L0M3U0V9T2T8S0S7R6Y0Z4
응급의료,2213315,응급의료에 관한 법률 일부개정법률안 (임종득의원 등 10인) (새창 열림),의원,2025-09-26,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_W2U5T0U9S1A5Z1A9Y0W3F2D2E5D1B3
응급의료,2212893,응급의료에 관한 법률 일부개정법률안(대안) (보건복지위원장) (새창 열림),위원장,2025-09-10,공포,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_P2M5L0O8G2H6A1G2L2J3B5U5Y6Z8R0
응급의료,2212171,응급의료에 관한 법률 일부개정법률안 (박정현의원 등 11인) (새창 열림),의원,2025-08-14,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2R5P0Y7Y1W7X0V9W3U1V5D6D0B3C8
응급의료,2211510,응급의료에 관한 법률 일부개정법률안 (임종득의원 등 10인) (새창 열림),의원,2025-07-16,대안반영폐기,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_E2F5N0N4L2M9L1J0J3R5S2Q8R1P2O2
응급의료,2211254,응급의료에 관한 법률 일부개정법률안 (이수진의원 등 11인) (새창 열림),의원,2025-07-03,대안반영폐기,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_S2T5R0S4A1A0Z1Z0X1W7X2S7T5R5S5
응급의료,2211159,응급의료에 관한 법률 일부개정법률안 (김재원의원 등 15인) (새창 열림),의원,2025-06-30,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2P5Q0P5N2N8V1W0U4V4T1S0S2O0P6
응급의료,2210995,2025년도 응급의료기금운용계획변경안 (정부) (새창 열림),정부,2025-06-23,정부이송,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_S2W5X0N6T2X3N1L5X4A1N4J1V3P0W4
응급의료,2210895,응급의료에 관한 법률 일부개정법률안 (우재준의원 등 11인) (새창 열림),의원,2025-06-17,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_Y2X5X0F6G1E3E1D3B2C7K1L2J8H1I9
응급의료,2210220,응급의료에 관한 법률 일부개정법률안 (이수진의원 등 10인) (새창 열림),의원,2025-04-29,정부이송,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_E2F5D0D4Z1Y0Y1W8X0V4W5E0E9D8D1
응급의료,2210091,응급의료에 관한 법률 일부개정법률안 (김민석의원 등 10인) (새창 열림),의원,2025-04-24,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_C2C5A0B4A1V4W1U6U2T6U0S9S7B7Z3
응급의료,2209055,응급의료에 관한 법률 일부개정법률안 (김태호의원 등 10인) (새창 열림),의원,2025-03-18,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_R2Z5Z0Y3W1X3V1W0D1E3C1D8C7A5A1
응급의료,2208979,응급의료에 관한 법률 일부개정법률안 (이주영의원 등 10인) (새창 열림),의원,2025-03-17,대안반영폐기,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_W2E5C0D3B1C1A1B5W3V3W4U5U8T3T9
응급의료,2208924,응급의료에 관한 법률 일부개정법률안 (안철수의원 등 12인) (새창 열림),의원,2025-03-13,대안반영폐기,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_D2E5C0C3K1L3J1K1I2H7H5P1Q8O8P9
응급의료,2208920,응급의료에 관한 법률 일부개정법률안 (강선우의원 등 13인) (새창 열림),의원,2025-03-13,소관위심사,https://likms.assembly.go.kr/bill/bi/billDetailPage.do?billId=PRC_D2E5C0C2B2Z8A1O8Q1O5O5M7L9M6T7
