keyword,source,title,date,url,summary,collected_at
필수의료,데일리메디,소아의료 구원투수 '성 니콜라스 어린이병원',2026-04-07 05:39:27,https://www.dailymedi.com/news/news_view.php?wr_id=935371,,2026-04-07 17:31:41
필수의료,데일리메디,"""의대 현실 가감없이 정부·국회 등 1대1 논의""",2026-04-06 19:19:48,https://www.dailymedi.com/news/news_view.php?wr_id=935335,,2026-04-07 17:31:41
응급의료,데일리메디,"최첨단 장비 도입 전북대병원 ""진료 고도화""",2026-04-06 09:15:00,https://www.dailymedi.com/news/news_view.php?wr_id=935345,,2026-04-07 17:26:45
